like,PrivPub,class_code,school
8,public,1,1
6,public,1,1
5,public,1,1
2,public,1,1
5,public,1,1
6,public,1,1
3,public,1,1
7,public,1,1
6,public,1,1
3,public,1,1
4,public,1,1
8,public,1,1
5,public,1,1
8,public,1,1
2,public,2,1
4,public,2,1
4,public,2,1
4,public,2,1
3,public,2,1
5,public,2,1
6,public,2,1
6,public,2,1
6,public,2,1
5,public,2,1
8,public,2,1
5,public,2,1
6,public,2,1
5,public,3,1
4,public,3,1
3,public,3,1
4,public,3,1
1,public,3,1
1,public,3,1
7,public,3,1
7,public,3,1
3,public,3,1
8,public,3,1
5,public,3,1
3,public,3,1
8,public,3,1
6,public,3,1
6,public,1,2
3,public,1,2
3,public,1,2
7,public,1,2
6,public,1,2
7,public,1,2
6,public,1,2
8,public,1,2
7,public,1,2
7,public,1,2
3,public,1,2
8,public,1,2
7,public,1,2
8,public,1,2
4,public,1,2
3,public,1,2
1,public,1,2
3,public,1,2
8,public,1,2
6,public,1,2
7,public,1,2
3,public,1,2
6,public,1,2
7,public,1,2
8,public,1,2
8,public,1,2
3,public,1,3
2,public,1,3
8,public,1,3
6,public,1,3
2,public,1,3
4,public,1,3
3,public,1,3
5,public,1,3
3,public,1,3
5,public,1,3
6,public,1,3
7,public,1,3
8,public,1,3
7,public,1,3
2,public,1,3
5,public,1,3
6,public,1,3
6,public,1,3
5,public,1,3
4,public,1,3
7,public,1,3
6,public,1,3
4,public,1,3
4,public,1,3
6,public,1,3
4,public,1,3
4,public,1,3
8,public,2,3
6,public,2,3
4,public,2,3
5,public,2,3
6,public,2,3
6,public,2,3
4,public,2,3
3,public,2,3
4,public,2,3
5,public,2,3
4,public,2,3
6,public,2,3
5,public,2,3
6,public,2,3
3,public,2,3
8,public,2,3
5,public,2,3
4,public,2,3
7,public,2,3
8,public,2,3
6,public,2,3
7,public,2,3
5,public,1,4
6,public,1,4
6,public,1,4
6,public,1,4
6,public,1,4
8,public,1,4
4,public,1,4
8,public,1,4
8,public,1,4
6,public,1,4
5,public,1,4
6,public,1,4
6,public,1,4
8,public,1,4
5,public,1,4
8,public,1,4
6,public,1,4
8,public,1,4
8,public,1,4
8,public,1,4
7,public,1,4
5,public,1,4
6,public,1,4
8,public,1,4
8,public,1,4
6,public,1,4
5,public,1,4
2,public,1,5
4,public,1,5
4,public,1,5
5,public,1,5
6,public,1,5
4,public,1,5
4,public,1,5
5,public,1,5
2,public,1,5
5,public,1,5
4,public,1,5
2,public,1,5
6,public,1,5
5,public,1,6
5,public,1,6
6,public,1,6
6,public,1,6
8,public,1,6
4,public,1,6
5,public,1,6
2,public,1,6
8,public,1,6
3,public,1,6
7,public,1,6
5,public,1,6
6,public,1,6
4,public,1,6
6,public,1,6
6,public,1,6
7,public,1,6
2,public,1,6
6,public,1,6
7,public,1,6
2,public,1,6
6,public,1,6
6,public,1,6
6,public,2,6
6,public,2,6
3,public,2,6
8,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
6,public,2,6
7,public,2,6
8,public,2,6
4,public,2,6
8,public,2,6
8,public,2,6
6,public,2,6
6,public,2,6
4,public,2,6
5,public,2,6
4,public,1,7
4,public,1,7
3,public,1,7
4,public,1,7
4,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
6,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
7,public,1,7
4,public,1,7
7,public,1,7
6,public,1,8
7,public,1,8
3,public,1,8
3,public,1,8
6,public,1,8
6,public,1,8
8,public,1,8
7,public,1,8
7,public,1,8
5,public,1,8
7,public,1,8
5,public,1,8
3,public,1,8
3,public,1,8
7,public,1,8
5,public,1,8
4,public,1,8
8,public,1,8
6,public,1,8
6,public,1,8
6,public,1,8
1,public,1,8
2,public,1,8
7,public,1,8
6,public,1,8
7,public,1,8
6,public,1,8
5,public,1,9
3,public,1,9
5,public,1,9
5,public,1,9
6,public,1,9
4,public,1,9
6,public,1,9
4,public,1,9
5,public,1,9
3,public,1,9
4,public,1,9
6,public,1,9
7,public,1,9
8,public,1,9
5,public,1,9
8,public,1,9
6,public,1,9
6,public,1,9
8,public,1,9
6,public,1,9
4,public,1,9
2,public,1,9
6,public,1,9
6,public,1,9
7,public,1,9
8,public,1,10
6,public,1,10
7,public,1,10
8,public,1,10
4,public,1,10
6,public,1,10
7,public,1,10
3,public,1,10
8,public,1,10
6,public,1,10
8,public,1,10
8,public,1,10
3,public,1,10
5,public,1,10
8,public,1,11
3,public,1,11
8,public,1,11
7,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
6,public,1,11
3,public,1,11
5,public,1,11
6,public,1,11
6,public,1,11
5,public,1,11
8,public,1,11
2,public,1,12
4,public,1,12
6,public,1,12
6,public,1,12
8,public,1,12
7,public,1,12
8,public,1,12
6,public,1,12
5,public,1,12
8,public,1,12
4,public,1,12
4,public,1,12
7,public,1,12
8,public,1,12
2,public,1,12
6,public,1,12
5,public,1,12
3,public,1,12
6,public,1,12
6,public,1,12
3,public,1,12
5,public,1,12
6,public,1,12
7,public,1,12
7,public,1,12
5,public,1,13
6,public,1,13
8,public,1,13
6,public,1,13
7,public,1,13
5,public,1,13
4,public,1,13
6,public,1,13
8,public,1,13
7,public,1,13
7,public,1,13
6,public,1,13
5,public,1,13
8,public,1,13
8,public,1,13
7,public,1,13
5,public,1,13
8,public,1,13
7,public,1,13
8,public,1,13
7,public,1,13
8,public,1,13
6,public,1,13
4,public,1,13
6,public,1,13
4,public,1,13
6,public,2,13
4,public,2,13
6,public,2,13
8,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
6,public,2,13
5,public,2,13
5,public,2,13
6,public,2,13
6,public,2,13
3,public,2,13
5,public,2,13
6,public,2,13
4,public,2,13
3,public,1,14
4,public,1,14
2,public,1,14
3,public,1,14
3,public,1,14
4,public,1,14
7,public,1,14
6,public,1,14
7,public,1,14
8,public,1,14
6,public,1,14
5,public,1,14
8,public,1,14
4,public,1,14
2,public,1,14
8,public,1,14
6,public,1,14
5,public,1,14
6,public,1,14
1,public,1,14
4,public,1,14
1,public,1,14
1,public,1,14
4,public,1,14
1,public,1,15
6,public,1,15
6,public,1,15
6,public,1,15
4,public,1,15
3,public,1,15
3,public,1,15
2,public,1,15
3,public,1,15
6,public,1,15
4,public,1,15
5,public,1,15
3,public,1,15
3,public,1,15
2,public,1,15
1,public,1,15
6,public,1,15
8,public,1,15
5,public,2,15
8,public,2,15
6,public,2,15
5,public,2,15
6,public,2,15
4,public,2,15
3,public,2,15
3,public,2,15
6,public,2,15
5,public,2,15
3,public,2,15
3,public,2,15
4,public,2,15
4,public,2,15
6,public,2,15
5,public,2,15
3,public,2,15
4,public,2,15
7,public,2,15
8,public,2,15
6,public,2,15
8,public,2,15
3,public,2,15
4,public,2,15
3,public,2,15
4,public,1,16
1,public,1,16
1,public,1,16
1,public,1,16
3,public,1,16
1,public,1,16
5,public,1,16
5,public,1,16
3,public,1,16
6,public,1,16
3,public,1,16
3,public,1,16
2,public,1,16
6,public,1,16
4,public,1,16
6,public,1,16
1,public,1,16
2,public,1,16
2,public,1,16
3,public,1,16
5,public,1,16
8,public,1,16
7,public,1,16
5,public,1,16
7,public,2,16
7,public,2,16
6,public,2,16
4,public,2,16
5,public,2,16
5,public,2,16
2,public,2,16
8,public,2,16
7,public,2,16
6,public,2,16
6,public,2,16
4,public,2,16
6,public,2,16
4,public,2,16
4,public,2,16
8,public,2,16
5,public,2,16
8,public,2,16
3,public,2,16
6,public,2,16
5,public,2,16
6,public,2,16
1,public,2,16
8,public,2,16
6,public,2,16
5,public,3,16
4,public,3,16
6,public,3,16
3,public,3,16
4,public,3,16
6,public,3,16
4,public,3,16
5,public,3,16
6,public,3,16
6,public,3,16
7,public,3,16
4,public,3,16
4,public,3,16
6,public,3,16
4,public,3,16
7,public,3,16
7,public,3,16
4,public,3,16
3,public,3,16
8,public,3,16
3,public,4,16
7,public,4,16
1,public,4,16
3,public,4,16
4,public,4,16
1,public,4,16
3,public,4,16
6,public,4,16
4,public,4,16
3,public,4,16
4,public,4,16
5,public,4,16
4,public,4,16
4,public,4,16
6,public,4,16
6,public,4,16
8,public,4,16
4,public,4,16
6,public,4,16
5,public,4,16
3,public,4,16
6,public,4,16
7,public,4,16
6,public,4,16
6,public,4,16
6,public,1,17
6,public,1,17
6,public,1,17
3,public,1,17
7,public,1,17
6,public,1,17
8,public,1,17
3,public,1,17
6,public,1,17
6,public,1,17
6,public,1,17
5,public,1,17
6,public,1,17
3,public,1,17
4,public,1,17
6,public,1,17
6,public,1,17
4,public,1,17
6,public,1,17
4,public,1,17
8,public,1,17
6,public,1,17
1,public,1,17
6,public,1,17
6,public,1,17
1,public,1,17
3,public,1,17
4,public,1,17
1,public,1,17
4,public,1,17
7,public,1,17
4,public,1,17
4,public,1,17
6,public,1,17
6,public,1,17
4,public,1,17
8,public,1,17
6,public,1,17
6,public,1,17
6,public,1,17
6,public,1,17
7,public,1,17
6,public,1,17
4,public,1,17
1,public,1,17
7,public,1,17
7,public,1,17
4,public,1,17
6,public,1,17
1,public,1,17
4,public,1,18
8,public,1,18
6,public,1,18
5,public,1,18
5,public,1,18
5,public,1,18
3,public,1,18
6,public,1,18
8,public,1,18
3,public,1,18
7,public,1,18
3,public,1,18
6,public,1,18
6,public,1,18
8,public,1,18
7,public,1,18
1,public,1,18
5,public,1,18
6,public,1,18
8,public,1,18
8,public,1,18
4,public,2,18
5,public,2,18
7,public,2,18
6,public,2,18
3,public,2,18
5,public,2,18
6,public,2,18
6,public,2,18
5,public,2,18
4,public,2,18
5,public,2,18
6,public,2,18
5,public,1,19
5,public,1,19
7,public,1,19
7,public,1,19
3,public,1,19
4,public,1,19
6,public,1,19
3,public,1,19
3,public,1,19
6,public,1,19
6,public,1,19
4,public,1,19
5,public,1,19
5,public,1,19
4,public,1,19
4,public,1,19
4,public,1,19
5,public,1,19
6,public,1,19
4,public,1,19
4,public,1,19
6,public,1,19
1,public,1,19
2,public,1,19
6,public,1,19
7,public,1,20
8,public,1,20
4,public,1,20
3,public,1,20
8,public,1,20
7,public,1,20
4,public,1,20
7,public,1,20
2,public,1,20
4,public,1,20
5,public,1,20
7,public,1,20
6,public,1,20
6,public,2,20
6,public,2,20
6,public,2,20
5,public,2,20
6,public,2,20
3,public,2,20
2,public,2,20
5,public,2,20
7,public,2,20
6,public,2,20
4,public,2,20
4,public,2,20
4,public,2,20
8,public,2,20
4,public,2,20
8,public,2,20
3,public,2,20
5,public,2,20
6,public,2,20
5,public,2,20
6,public,2,20
6,public,2,20
7,public,2,20
5,public,1,21
3,public,1,21
3,public,1,21
5,public,1,21
4,public,1,21
2,public,1,21
5,public,1,21
4,public,1,21
4,public,1,21
5,public,1,21
5,public,1,21
3,public,1,21
4,public,1,21
6,public,1,21
4,public,1,21
3,public,1,21
5,public,1,21
4,public,1,21
7,public,1,21
6,public,1,21
3,public,1,21
8,public,1,21
8,public,1,21
6,public,1,21
1,public,1,21
1,public,1,21
6,public,1,21
8,public,1,21
5,public,1,21
6,public,1,21
1,public,1,21
8,public,1,21
4,public,1,21
5,public,1,21
6,public,1,21
3,public,1,21
6,public,1,21
6,public,1,21
4,public,1,21
6,public,1,21
1,public,1,21
1,public,1,21
3,public,1,22
5,public,1,22
6,public,1,22
6,public,1,22
8,public,1,22
3,public,1,22
5,public,1,22
4,public,1,22
6,public,1,22
8,public,1,22
3,public,1,22
8,public,1,22
4,public,1,22
8,public,1,22
6,public,1,22
3,public,1,22
4,private,1,23
5,private,1,23
1,private,1,23
1,private,1,23
3,private,1,23
7,private,1,23
2,private,1,23
1,private,1,23
1,private,1,23
1,private,1,23
4,private,1,23
2,private,1,23
8,private,1,23
1,private,1,23
2,private,1,23
6,private,1,23
1,private,1,23
3,private,1,23
1,private,1,23
6,private,2,23
4,private,2,23
6,private,2,23
5,private,2,23
8,private,2,23
5,private,2,23
4,private,2,23
5,private,2,23
3,private,2,23
4,private,2,23
6,private,2,23
5,private,2,23
7,private,2,23
6,private,2,23
8,private,2,23
6,private,2,23
7,private,2,23
5,private,2,23
6,private,2,23
8,private,2,23
5,private,2,23
6,private,2,23
6,private,2,23
4,private,3,23
6,private,3,23
8,private,3,23
4,private,3,23
6,private,3,23
6,private,3,23
1,private,3,23
1,private,3,23
4,private,3,23
7,private,3,23
6,private,3,23
8,private,3,23
3,private,3,23
6,private,3,23
5,private,3,23
4,private,3,23
6,private,3,23
1,private,3,23
8,private,3,23
6,private,3,23
3,private,3,23
5,private,3,23
3,private,4,23
6,private,4,23
1,private,4,23
5,private,4,23
4,private,4,23
5,private,4,23
4,private,4,23
3,private,4,23
6,private,4,23
3,private,4,23
4,private,4,23
5,private,4,23
4,private,4,23
2,private,4,23
1,private,4,23
8,private,4,23
4,private,4,23
6,private,4,23
6,private,4,23
5,private,4,23
6,private,4,23
8,private,4,23
6,private,4,23
5,public,1,24
4,public,1,24
6,public,1,24
6,public,1,24
2,public,1,24
4,public,1,24
3,public,1,24
8,public,1,24
6,public,1,24
2,public,1,24
4,public,1,24
6,public,1,24
6,public,1,24
6,public,1,24
6,public,1,24
6,public,1,24
8,public,1,24
5,public,1,24
4,public,1,24
6,public,1,24
6,public,1,24
3,public,1,24
2,public,1,24
8,public,1,24
4,public,1,24
6,public,1,24
6,public,1,24
7,public,1,24
3,public,1,24
4,public,1,25
6,public,1,25
7,public,1,25
8,public,1,25
5,public,1,25
8,public,1,25
6,public,1,25
7,public,1,25
6,public,1,25
4,public,1,25
6,public,1,25
2,public,1,25
6,public,1,25
6,public,1,25
6,public,1,25
1,public,1,25
7,public,1,25
6,public,1,25
4,public,1,25
6,public,1,25
6,public,1,25
8,public,1,25
8,public,1,25
1,public,1,25
6,public,1,25
5,public,1,25
5,public,1,25
3,public,1,25
6,public,1,25
8,public,1,25
3,public,1,25
2,public,1,26
6,public,1,26
5,public,1,26
6,public,1,26
4,public,1,26
6,public,1,26
2,public,1,26
4,public,1,26
6,public,1,26
7,public,1,26
7,public,1,26
5,public,1,26
3,public,1,26
8,public,2,26
7,public,2,26
3,public,2,26
6,public,2,26
1,public,2,26
3,public,2,26
7,public,2,26
4,public,2,26
4,public,2,26
6,public,2,26
5,public,2,26
5,public,2,26
7,public,1,27
7,public,1,27
3,public,1,27
6,public,1,27
6,public,1,27
6,public,1,27
5,public,2,27
6,public,2,27
6,public,2,27
5,public,2,27
4,public,2,27
6,public,2,27
6,public,2,27
6,public,2,27
3,public,2,27
1,public,2,27
2,public,2,27
7,public,2,27
3,public,2,27
1,public,2,27
4,public,2,27
6,public,2,27
7,public,1,28
4,public,1,28
7,public,1,28
7,public,1,28
6,public,1,28
4,public,1,28
4,public,1,28
3,public,1,28
6,public,1,28
7,public,1,28
6,public,2,28
6,public,2,28
8,public,2,28
6,public,2,28
6,public,2,28
3,public,2,28
4,public,2,28
7,public,2,28
7,public,2,28
6,public,2,28
4,public,2,28
8,public,2,28
6,public,2,28
5,public,2,28
6,public,1,29
6,public,1,29
5,public,1,29
4,public,1,29
1,public,1,29
6,public,1,29
3,public,1,29
7,public,2,29
6,public,2,29
6,public,2,29
4,public,2,29
8,public,2,29
6,public,2,29
5,public,2,29
6,public,2,29
8,public,2,29
3,public,2,29
5,public,3,29
7,public,3,29
6,public,3,29
4,public,3,29
4,public,3,29
7,public,3,29
4,public,3,29
6,public,3,29
7,public,3,29
6,public,3,29
6,public,3,29
3,public,1,30
5,public,1,30
8,public,1,30
4,public,1,30
2,public,1,30
6,public,1,30
4,public,1,30
6,public,1,30
5,public,1,30
6,public,1,30
4,public,1,30
6,public,1,30
3,public,1,30
5,public,1,30
1,public,1,30
4,public,1,30
5,public,1,30
4,public,1,30
3,public,1,30
5,public,1,30
4,public,1,30
5,public,1,30
8,public,2,30
4,public,2,30
8,public,2,30
7,public,2,30
3,public,2,30
6,public,2,30
6,public,2,30
4,public,2,30
6,public,2,30
7,public,2,30
4,public,2,30
8,public,2,30
3,public,2,30
7,public,2,30
7,public,2,30
6,public,2,30
5,public,2,30
8,public,2,30
5,public,2,30
5,public,2,30
6,public,2,30
6,public,2,30
5,public,2,30
7,private,1,31
8,private,1,31
6,private,1,31
6,private,1,31
4,private,1,31
5,private,1,31
2,private,1,31
6,private,1,31
4,private,1,31
6,private,1,31
6,private,1,31
6,private,1,31
4,private,1,31
6,private,1,31
5,private,1,31
6,private,1,31
4,private,1,31
5,private,1,31
7,private,1,31
8,private,1,31
4,private,1,31
6,private,1,31
7,private,1,31
3,private,1,31
4,private,1,31
7,private,1,31
3,private,1,31
4,private,2,31
5,private,2,31
6,private,2,31
8,private,2,31
6,private,2,31
6,private,2,31
5,private,2,31
6,private,2,31
8,private,2,31
4,private,2,31
6,private,2,31
5,private,2,31
5,private,2,31
7,private,2,31
5,private,2,31
6,private,2,31
4,private,2,31
6,private,2,31
6,private,2,31
5,private,2,31
2,private,2,31
7,private,2,31
4,private,2,31
4,private,1,32
4,private,1,32
1,private,1,32
4,private,1,32
7,private,1,32
4,private,1,32
7,private,1,32
4,private,1,32
6,private,1,32
4,private,1,32
4,private,1,32
4,private,1,32
1,private,1,32
4,private,1,32
7,private,1,32
4,private,1,32
7,private,1,32
4,private,1,32
6,private,1,32
4,private,1,32
6,private,1,32
5,private,1,32
6,private,1,32
5,private,1,32
1,private,1,32
1,private,1,32
6,private,1,32
5,private,1,32
6,private,1,32
5,private,1,32
1,private,1,32
1,private,1,32
6,private,1,32
6,private,1,32
8,private,1,33
4,private,1,33
5,private,1,33
5,private,1,33
6,private,1,33
6,private,1,33
5,private,1,33
3,private,1,33
5,private,1,33
3,private,1,33
4,private,1,33
4,private,1,33
4,private,1,33
7,private,1,33
5,private,1,33
6,private,1,33
3,private,1,33
4,private,1,33
4,private,1,33
3,private,1,33
6,private,1,33
4,private,1,33
6,private,1,33
8,private,1,33
4,private,1,33
6,private,1,33
7,private,1,33
3,private,1,33
4,private,1,33
1,private,1,34
6,private,1,34
5,private,1,34
7,private,1,34
5,private,1,34
7,private,1,34
4,private,1,34
5,private,1,34
4,private,1,34
3,private,1,34
6,private,1,34
3,private,1,34
8,private,1,34
5,private,1,35
8,private,1,35
7,private,1,35
8,private,1,35
6,private,1,35
4,private,1,35
3,private,1,35
6,private,1,35
6,private,1,35
4,private,1,35
5,private,1,35
7,private,1,35
7,private,1,35
4,private,1,35
6,private,1,35
1,private,1,36
5,private,1,36
1,private,1,36
2,private,1,36
3,private,1,36
4,private,1,36
5,private,1,36
1,private,1,36
4,private,1,36
8,private,1,36
3,private,1,36
4,private,1,36
2,private,1,36
8,private,1,36
5,private,1,36
3,private,1,36
3,private,1,36
3,private,1,36
6,private,1,36
5,private,1,36
2,private,1,36
5,private,1,36
5,private,1,36
1,private,1,36
3,private,1,36
1,private,1,36
1,private,1,36
1,private,1,36
4,private,1,36
4,private,1,36
4,private,1,36
5,private,1,36
1,private,1,36
3,private,1,36
5,private,1,36
7,private,1,36
7,private,1,36
4,private,2,36
6,private,2,36
1,private,2,36
4,private,2,36
4,private,2,36
8,private,2,36
6,private,2,36
5,private,2,36
6,private,2,36
8,private,2,36
8,private,2,36
6,private,2,36
3,private,2,36
5,private,2,36
3,private,2,36
2,private,2,36
3,private,2,36
4,private,2,36
4,private,2,36
7,private,2,36
8,private,2,36
7,private,2,36
6,private,2,36
4,private,2,36
6,private,2,36
4,private,2,36
4,private,2,36
6,private,2,36
4,private,2,36
6,private,2,36
3,private,2,36
8,private,2,36
6,private,2,36
3,private,2,36
6,private,2,36
4,private,2,36
1,private,2,36
6,private,2,36
6,private,2,36
6,private,2,36
8,private,2,36
8,private,2,36
6,private,2,36
6,private,2,36
3,private,3,36
2,private,3,36
7,private,3,36
4,private,3,36
3,private,3,36
3,private,3,36
8,private,3,36
8,private,3,36
4,private,3,36
3,private,3,36
6,private,3,36
6,private,3,36
5,private,3,36
7,private,3,36
5,private,3,36
6,private,3,36
8,private,3,36
5,private,3,36
6,private,3,36
6,private,3,36
7,private,3,36
6,private,4,36
6,private,4,36
4,private,4,36
4,private,4,36
6,private,4,36
6,private,4,36
5,private,4,36
6,private,4,36
5,private,4,36
5,private,4,36
2,private,4,36
4,private,4,36
6,private,4,36
6,private,4,36
6,private,4,36
6,private,4,36
8,private,4,36
8,private,4,36
8,private,4,36
6,private,4,36
5,private,4,36
1,private,1,37
4,private,1,37
1,private,1,37
6,private,1,38
3,private,1,38
1,private,1,38
6,private,1,38
1,private,1,38
4,private,1,38
6,private,1,38
6,private,1,38
6,private,1,38
6,private,1,38
2,private,1,38
1,private,1,38
4,private,1,38
5,private,1,38
4,private,1,38
4,private,1,38
6,private,1,38
3,private,1,38
6,private,1,38
3,private,1,38
5,private,1,38
6,private,1,39
6,private,1,39
5,private,1,39
4,private,1,39
4,private,1,39
4,private,1,39
4,private,1,39
6,private,1,39
4,private,1,39
4,private,1,39
7,private,1,39
6,private,1,39
8,private,1,39
3,private,1,39
6,private,1,39
5,private,1,39
5,private,1,39
6,private,1,39
6,private,1,39
6,private,1,39
6,private,1,39
5,private,1,39
7,private,1,39
6,private,1,39
4,private,1,39
4,private,1,39
3,private,1,39
8,private,1,39
6,private,1,40
4,private,1,40
7,private,1,40
6,private,1,40
6,private,1,40
3,private,1,40
5,private,1,40
4,private,1,40
8,private,1,40
5,private,1,41
3,private,1,41
5,private,1,41
4,private,1,41
5,private,1,41
4,private,1,41
4,private,1,41
5,private,1,41
5,private,1,41
5,private,1,41
6,private,1,41
8,private,1,41
5,private,1,41
6,private,1,41
5,private,1,41
6,private,2,41
4,private,2,41
6,private,2,41
5,private,2,41
6,private,2,41
3,private,2,41
4,private,2,41
3,private,2,41
3,private,2,41
3,private,2,41
3,private,2,41
6,private,2,41
4,private,2,41
4,private,2,41
4,private,2,41
5,private,2,41
5,private,2,41
3,private,2,41
4,private,2,41
1,private,2,41
3,private,2,41
7,private,2,41
6,private,2,41
2,private,2,41
6,private,2,41
